t, z, H_t(z), error in H_t(z)
0.0, 0.0, 0.06214009727353969, 3.5164758532771264e-09
0.0, 0.1, 0.0621365080036857, 3.549634793589007e-09
0.0, 0.2, 0.06212574135138891, 3.649736020818286e-09
0.0, 0.3, 0.062107800787859525, 3.818634327004267e-09
0.0, 0.4, 0.06208269209649786, 4.059360977019597e-09
0.0, 0.5, 0.06205042336997048, 4.376041437710281e-09
0.0, 0.6, 0.06201100500611961, 4.773792916077123e-09
0.0, 0.7, 0.061964449702708625, 5.258611570490388e-09
0.0, 0.8, 0.06191077245100688, 5.8372575380953025e-09
0.0, 0.9, 0.06184999052821848, 6.517144346461509e-09
0.0, 1.0, 0.061782123488759916, 7.3062368979262405e-09
0.0, 1.1, 0.0617071931543923, 8.212960211861797e-09
0.0, 1.2, 0.06162522360321513, 9.246119141794646e-09
0.0, 1.3, 0.06153624115752871, 1.0414828861207909e-08
0.0, 1.4, 0.0614402743705733, 1.1728454867422572e-08
0.0, 1.5, 0.061337354012154136, 1.3196560667053444e-08
0.0, 1.6, 0.061227513053161785, 1.4828862046694323e-08
0.0, 1.7, 0.061110786648997696, 3.317335404362902e-15
0.0, 1.8, 0.060987212121918155, 3.0812529820367556e-15
0.0, 1.9, 0.06085682894230377, 2.835183231059746e-15
0.0, 2.0, 0.06071967870887295, 2.5800834187615815e-15
0.0, 2.1, 0.06057580512784791, 2.317114651424197e-15
0.0, 2.2, 0.060425253991089334, 2.047726937659735e-15
0.0, 2.3, 0.060268073153213454, 1.7737340968634703e-15
0.0, 2.4, 0.06010431250770687, 1.4974740639582783e-15
0.0, 2.5, 0.05993402396205523, 1.2507866227540509e-15
0.0, 2.6, 0.05975726141190176, 1.1714944802342475e-15
0.0, 2.7, 0.05957408071425329, 1.1212255567350448e-15
0.0, 2.8, 0.05938453965975098, 1.0824971194588318e-15
0.0, 2.9, 0.05918869794402446, 1.081716722623086e-15
0.0, 3.0, 0.05898661713814798, 1.2151560555667856e-15
0.0, 3.1, 0.05877836065821817, 1.4564661931958168e-15
0.0, 3.2, 0.05856399373407341, 1.7681506446758748e-15
0.0, 3.3, 0.05834358337717516, 2.1498872021251396e-15
0.0, 3.4, 0.058117198347672545, 2.6069605833944373e-15
0.0, 3.5, 0.05788490912067153, 3.148314089702032e-15
0.0, 3.6, 0.05764678785173079, 3.786547776961458e-15
0.0, 3.7, 0.057402908341606766, 4.538715790856854e-15
0.0, 3.8, 0.057153346000270756, 5.427923901330782e-15
0.0, 3.9, 0.056898177810221516, 6.4860241609177605e-15
0.0, 4.0, 0.05663748228911704, 7.742173448456652e-15
0.0, 4.1, 0.05637133945174956, 9.252217045026388e-15
0.0, 4.2, 0.0560998307713888, 1.1110982238747463e-14
0.0, 4.3, 0.05582303914051744, 1.3461336200962235e-14
0.0, 4.4, 0.05554104883098492, 1.6555929819142746e-14
0.0, 4.5, 0.055253945453604625, 2.0753814623733232e-14
0.0, 4.6, 0.05496181591722023, 2.6511915045495288e-14
0.0, 4.7, 0.054664748387267405, 3.440203978976313e-14
0.0, 4.8, 0.054362832243857274, 3.520553883298708e-14
0.0, 4.9, 0.05405615803940799, 3.4979587584207716e-14
0.0, 5.0, 0.05374481745585129, 3.387996610033795e-14
0.0, 5.1, 0.053428903261441084, 3.233920254680077e-14
0.0, 5.2, 0.05310850926719087, 3.149280592241522e-14
0.0, 5.3, 0.052783730282967685, 3.118501081894701e-14
0.0, 5.4, 0.052454662073269626, 3.120710022119147e-14
0.0, 5.5, 0.052121401312714546, 3.144810507419987e-14
0.0, 5.6, 0.05178404554126762, 3.184263828356391e-14
0.0, 5.7, 0.05144269311923519, 3.234929160673205e-14
0.0, 5.8, 0.05109744318205278, 3.294004135222906e-14
0.0, 5.9, 0.050748395594894934, 3.3594854429418077e-14
0.0, 6.0, 0.05039565090713426, 3.429885159140149e-14
0.0, 6.1, 0.050039310306678145, 3.504055655287197e-14
0.0, 6.2, 0.049679475574209764, 3.581029448076157e-14
0.0, 6.3, 0.049316249037361766, 3.660005247614709e-14
0.0, 6.4, 0.04894973352484968, 3.740281360200797e-14
0.0, 6.5, 0.04858003232059266, 3.821247133519924e-14
0.0, 6.6, 0.04820724911784873, 3.902299469586949e-14
0.0, 6.7, 0.04783148797339158, 3.981388320498015e-14
0.0, 6.8, 0.04745285326175609, 4.058299368028128e-14
0.0, 6.9, 0.04707144962957908, 4.1336816269834085e-14
0.0, 7.0, 0.04668738195006211, 4.206985227577776e-14
0.0, 7.1, 0.04630075527758254, 4.2777126336003143e-14
0.0, 7.2, 0.04591167480247898, 4.345265026331226e-14
0.0, 7.3, 0.045520245806037, 4.41537915416099e-14
0.0, 7.4, 0.04512657361570071, 4.4837852930344494e-14
0.0, 7.5, 0.04473076356053542, 4.554504361105009e-14
0.0, 7.6, 0.04433292092696648, 4.6322262988169776e-14
0.0, 7.7, 0.04393315091481872, 4.705708068198751e-14
0.0, 7.8, 0.043531558593681165, 4.770228351559787e-14
0.0, 7.9, 0.04312824885962044, 4.8106590239690096e-14
0.0, 8.0, 0.042723326392267044, 4.8866670989787183e-14
0.0, 8.1, 0.04231689561229705, 4.931552996592485e-14
0.0, 8.2, 0.04190906063933249, 4.967529755503195e-14
0.0, 8.3, 0.041499925250282475, 4.993932563970112e-14
0.0, 8.4, 0.041089592838147025, 5.010025611129669e-14
0.0, 8.5, 0.0406781663713051, 5.0151089902831906e-14
0.0, 8.6, 0.04026574835330771, 5.008523589213868e-14
0.0, 8.7, 0.03985244078319685, 4.989541598499194e-14
0.0, 8.8, 0.03943834511636991, 4.957532837886368e-14
0.0, 8.9, 0.03902356222600944, 4.9118911080742965e-14
0.0, 9.0, 0.03860819236509701, 4.8519896943069376e-14
0.0, 9.1, 0.038192335129029815, 4.7773394814655283e-14
0.0, 9.2, 0.037776089418857885, 4.687438158213159e-14
0.0, 9.3, 0.037359553405159285, 4.581858054219444e-14
0.0, 9.4, 0.03694282449257022, 4.460347448864558e-14
0.0, 9.5, 0.03652599928498623, 4.322688056188073e-14
0.0, 9.6, 0.03610917355145032, 4.1688548231340124e-14
0.0, 9.7, 0.035692442192743, 3.998949790485876e-14
0.0, 9.8, 0.035275899208688885, 3.813281245186975e-14
0.0, 9.9, 0.03485963766619378, 3.6124511379913036e-14
0.0, 10.0, 0.03444374966802552, 3.397367156551409e-14
0.0, 10.1, 0.03402832632235153, 3.1692586378917304e-14
0.0, 10.2, 0.03361345771304286, 1.7482809136089787e-09
0.0, 10.3, 0.033199232870769, 1.0353490885334931e-08
0.0, 10.4, 0.03278573974486336, 2.427821206073304e-14
0.0, 10.5, 0.03237306517600626, 2.1725673605874428e-14
0.0, 10.6, 0.03196129486972056, 1.9217301764461897e-14
0.0, 10.7, 0.03155051337067578, 1.6835280242296776e-14
0.0, 10.8, 0.03114080403782793, 1.470188916592065e-14
0.0, 10.9, 0.030732249020394224, 1.302311056019591e-14
0.0, 11.0, 0.03032492923467076, 1.2432519361775022e-14
0.0, 11.1, 0.02991892434170024, 1.4548886246873102e-14
0.0, 11.2, 0.02951431272579523, 1.800295241623743e-14
0.0, 11.3, 0.029111171473922323, 2.2602920408874708e-14
0.0, 11.4, 0.028709576355951748, 2.833876270566483e-14
0.0, 11.5, 0.028309601805776324, 3.525302422804053e-14
0.0, 11.6, 0.027911320903303338, 4.341601765077928e-14
0.0, 11.7, 0.027514805357321676, 5.291904960824266e-14
0.0, 11.8, 0.02712012548924664, 6.38708988766833e-14
0.0, 11.9, 0.02672735021774372, 7.639889580575568e-14
0.0, 12.0, 0.02633654704423224, 9.062126626387197e-14
0.0, 12.1, 0.02594778203926912, 1.0659134729068004e-13
0.0, 12.2, 0.02556111982981243, 1.2456017696071073e-13
0.0, 12.3, 0.02517662358736371, 1.4472206692788264e-13
0.0, 12.4, 0.0247943550169876, 1.6730061630722272e-13
0.0, 12.5, 0.024414374347206565, 1.926618522129677e-13
0.0, 12.6, 0.02403674032076802, 2.210627667702434e-13
0.0, 12.7, 0.02366151018628073, 2.5280537614328474e-13
0.0, 12.8, 0.023288739690716338, 2.8828263716529833e-13
0.0, 12.9, 0.022918483072771962, 3.279897698984408e-13
0.0, 13.0, 0.022550793057088656, 3.7245968960090666e-13
0.0, 13.1, 0.02218572084932043, 4.220220475825985e-13
0.0, 13.2, 0.021823316132047646, 4.791801878685037e-13
0.0, 13.3, 0.021463627061528545, 5.435492146388319e-13
0.0, 13.4, 0.02110670026528152, 6.171077108447631e-13
0.0, 13.5, 0.02075258084049088, 6.966510870121415e-13
0.0, 13.6, 0.02040131235322798, 7.86387360688178e-13
0.0, 13.7, 0.020052936838479203, 8.896563301560408e-13
0.0, 13.8, 0.0197074948009719, 1.009950020353079e-12
0.0, 13.9, 0.019365025216788807, 1.1523292692689264e-12
0.0, 14.0, 0.01902556553576117, 1.3244943186312895e-12
0.0, 14.1, 0.01868915168463018, 1.4824869629894744e-12
0.0, 14.2, 0.018355818070966166, 1.5518470723706758e-12
