N,|E1/B0_eff|,|E2/B0_eff|
3,0.011852597,0.015244156
4,0.006914723,0.009504587
5,0.004560052,0.006588036
6,0.003237673,0.00487004
7,0.002416978,0.003761939
8,0.001871537,0.003001173
9,0.001490339,0.002454283
10,0.001213419,0.002046939
11,0.001005962,0.001734823
12,0.000846589,0.00149007
13,0.000721563,0.001294397
14,0.000621727,0.001135378
15,0.000540782,0.001004313
16,0.00047428,0.000894956
17,0.000419005,0.000802726
18,0.000372587,0.000724196
19,0.00033325,0.000656761
20,0.000299638,0.000598412
21,0.000270705,0.000547575
22,0.00024563,0.000503005
23,0.000223766,0.000463707
24,0.000204594,0.000428877
25,0.000187697,0.000397858
26,0.000172732,0.00037011
27,0.000159421,0.000345188
28,0.000147533,0.000322717
29,0.000136874,0.000302386
30,0.000127284,0.00028393
31,0.000118626,0.000267124
32,0.000110787,0.000251776
33,0.000103667,0.000237722
34,9.71832E-05,0.000224819
35,9.1263E-05,0.000212945
36,8.58441E-05,0.000201993
37,8.08727E-05,0.00019187
38,7.63018E-05,0.000182492
39,7.20902E-05,0.00017379
40,6.82021E-05,0.000165699
41,6.46059E-05,0.000158163
42,6.12735E-05,0.000151133
43,5.81805E-05,0.000144563
44,5.53048E-05,0.000138415
45,5.2627E-05,0.000132653
46,5.01298E-05,0.000127246
47,4.77976E-05,0.000122164
48,4.56165E-05,0.000117382
49,4.35741E-05,0.000112877
50,4.16591E-05,0.000108627
51,3.98613E-05,0.000104615
52,3.81716E-05,0.000100822
53,3.65817E-05,9.7232E-05
54,3.50841E-05,9.38318E-05
55,3.3672E-05,9.06079E-05
56,3.23391E-05,8.75481E-05
57,3.10797E-05,8.46415E-05
58,2.98886E-05,8.1878E-05
59,2.87612E-05,7.92484E-05
60,2.76931E-05,7.67441E-05
61,2.66803E-05,7.43573E-05
62,2.57191E-05,7.20807E-05
63,2.48062E-05,6.99076E-05
64,2.39384E-05,6.78319E-05
65,2.3113E-05,6.58477E-05
66,2.23273E-05,6.39498E-05
67,2.15788E-05,6.21332E-05
68,2.08653E-05,6.03934E-05
69,2.01847E-05,5.8726E-05
70,1.95351E-05,5.71271E-05
71,1.89146E-05,5.5593E-05
72,1.83216E-05,5.41202E-05
73,1.77545E-05,5.27054E-05
74,1.72119E-05,5.13458E-05
75,1.66925E-05,5.00383E-05
76,1.61949E-05,4.87805E-05
77,1.57179E-05,4.75698E-05
78,1.52606E-05,4.64038E-05
79,1.48218E-05,4.52805E-05
80,1.44007E-05,4.41976E-05
81,1.39962E-05,4.31534E-05
82,1.36076E-05,4.2146E-05
83,1.3234E-05,4.11737E-05
84,1.28747E-05,4.02348E-05
85,1.2529E-05,3.93278E-05
86,1.21963E-05,3.84514E-05
87,1.18759E-05,3.76041E-05
88,1.15673E-05,3.67847E-05
89,1.12698E-05,3.5992E-05
90,1.0983E-05,3.52247E-05
91,1.07064E-05,3.44819E-05
92,1.04395E-05,3.37625E-05
93,1.01819E-05,3.30655E-05
94,9.93314E-06,3.239E-05
95,9.69287E-06,3.17352E-05
96,9.46071E-06,3.11001E-05
97,9.23631E-06,3.0484E-05
98,9.01933E-06,2.98862E-05
99,8.80947E-06,2.93059E-05
100,8.60641E-06,2.87424E-05
101,8.40989E-06,2.81952E-05
102,8.21963E-06,2.76635E-05
103,8.03537E-06,2.71468E-05
104,7.85688E-06,2.66446E-05
105,7.68392E-06,2.61563E-05
106,7.51627E-06,2.56814E-05
107,7.35372E-06,2.52193E-05
108,7.19608E-06,2.47698E-05
109,7.04315E-06,2.43322E-05
110,6.89476E-06,2.39062E-05
111,6.75073E-06,2.34914E-05
112,6.6109E-06,2.30873E-05
113,6.47511E-06,2.26937E-05
114,6.34321E-06,2.23101E-05
115,6.21506E-06,2.19362E-05
116,6.09053E-06,2.15718E-05
117,5.96947E-06,2.12164E-05
118,5.85177E-06,2.08697E-05
119,5.73731E-06,2.05316E-05
120,5.62598E-06,2.02017E-05
121,5.51766E-06,1.98797E-05
122,5.41225E-06,1.95654E-05
123,5.30965E-06,1.92586E-05
124,5.20976E-06,1.8959E-05
125,5.11249E-06,1.86664E-05
126,5.01776E-06,1.83805E-05
127,4.92548E-06,1.81012E-05
128,4.83557E-06,1.78283E-05
129,4.74795E-06,1.75616E-05
130,4.66254E-06,1.73008E-05
131,4.57928E-06,1.70459E-05
132,4.49809E-06,1.67966E-05
133,4.41891E-06,1.65528E-05
134,4.34168E-06,1.63143E-05
135,4.26633E-06,1.60809E-05
136,4.1928E-06,1.58526E-05
137,4.12105E-06,1.56291E-05
138,4.051E-06,1.54104E-05
139,3.98262E-06,1.51962E-05
140,3.91585E-06,1.49866E-05
141,3.85064E-06,1.47813E-05
142,3.78695E-06,1.45802E-05
143,3.72473E-06,1.43832E-05
144,3.66393E-06,1.41902E-05
145,3.60452E-06,1.40011E-05
146,3.54646E-06,1.38158E-05
147,3.4897E-06,1.36342E-05
148,3.4342E-06,1.34561E-05
149,3.37994E-06,1.32816E-05
150,3.32688E-06,1.31105E-05
151,3.27498E-06,1.29427E-05
152,3.2242E-06,1.27781E-05
153,3.17453E-06,1.26166E-05
154,3.12593E-06,1.24583E-05
155,3.07836E-06,1.23029E-05
156,3.0318E-06,1.21504E-05
157,2.98623E-06,1.20008E-05
158,2.94161E-06,1.18539E-05
159,2.89793E-06,1.17098E-05
160,2.85515E-06,1.15683E-05
161,2.81325E-06,1.14293E-05
162,2.77221E-06,1.12929E-05
163,2.732E-06,1.11589E-05
164,2.69261E-06,1.10274E-05
165,2.65401E-06,1.08981E-05
166,2.61619E-06,1.07711E-05
167,2.57911E-06,1.06464E-05
168,2.54277E-06,1.05238E-05
169,2.50715E-06,1.04034E-05
170,2.47222E-06,1.0285E-05
171,2.43797E-06,1.01687E-05
172,2.40438E-06,1.00544E-05
173,2.37144E-06,9.94193E-06
174,2.33913E-06,9.83141E-06
175,2.30743E-06,9.72274E-06
176,2.27634E-06,9.61587E-06
177,2.24583E-06,9.51078E-06
178,2.21588E-06,9.40742E-06
179,2.1865E-06,9.30574E-06
180,2.15766E-06,9.20573E-06
181,2.12935E-06,9.10733E-06
182,2.10156E-06,9.01052E-06
183,2.07428E-06,8.91527E-06
184,2.04749E-06,8.82152E-06
185,2.02119E-06,8.72927E-06
186,1.99535E-06,8.63847E-06
187,1.96998E-06,8.54909E-06
188,1.94506E-06,8.46111E-06
189,1.92057E-06,8.37449E-06
190,1.89652E-06,8.28921E-06
191,1.87289E-06,8.20524E-06
192,1.84967E-06,8.12255E-06
193,1.82685E-06,8.04112E-06
194,1.80443E-06,7.96092E-06
195,1.78238E-06,7.88192E-06
196,1.76072E-06,7.80411E-06
197,1.73942E-06,7.72746E-06
198,1.71849E-06,7.65194E-06
199,1.6979E-06,7.57754E-06
200,1.67766E-06,7.50423E-06
201,1.65775E-06,7.43198E-06
202,1.63818E-06,7.36079E-06
203,1.61893E-06,7.29063E-06
204,1.59999E-06,7.22147E-06
205,1.58137E-06,7.15331E-06
206,1.56304E-06,7.08612E-06
207,1.54501E-06,7.01988E-06
208,1.52728E-06,6.95457E-06
209,1.50982E-06,6.89018E-06
210,1.49265E-06,6.82669E-06
211,1.47575E-06,6.76409E-06
212,1.45912E-06,6.70235E-06
213,1.44274E-06,6.64146E-06
214,1.42663E-06,6.58141E-06
215,1.41076E-06,6.52217E-06
216,1.39515E-06,6.46375E-06
217,1.37977E-06,6.40611E-06
218,1.36463E-06,6.34925E-06
219,1.34972E-06,6.29315E-06
220,1.33504E-06,6.2378E-06
221,1.32059E-06,6.18318E-06
222,1.30635E-06,6.12929E-06
223,1.29232E-06,6.0761E-06
224,1.27851E-06,6.02362E-06
225,1.2649E-06,5.97182E-06
226,1.2515E-06,5.92069E-06
227,1.23829E-06,5.87022E-06
228,1.22528E-06,5.82041E-06
229,1.21246E-06,5.77123E-06
230,1.19982E-06,5.72268E-06
231,1.18737E-06,5.67474E-06
232,1.17511E-06,5.62742E-06
233,1.16301E-06,5.58069E-06
234,1.15109E-06,5.53454E-06
235,1.13935E-06,5.48898E-06
236,1.12777E-06,5.44398E-06
237,1.11635E-06,5.39954E-06
238,1.1051E-06,5.35564E-06
239,1.094E-06,5.31229E-06
240,1.08306E-06,5.26947E-06
241,1.07227E-06,5.22716E-06
242,1.06164E-06,5.18538E-06
243,1.05115E-06,5.14409E-06
244,1.0408E-06,5.10331E-06
245,1.0306E-06,5.06301E-06
246,1.02053E-06,5.02319E-06
247,1.01061E-06,4.98385E-06
248,1.00082E-06,4.94498E-06
249,9.9116E-07,4.90656E-06
250,9.81631E-07,4.86859E-06
251,9.72231E-07,4.83107E-06
252,9.62957E-07,4.79399E-06
253,9.53806E-07,4.75733E-06
254,9.44777E-07,4.7211E-06
255,9.35867E-07,4.68529E-06
256,9.27075E-07,4.64989E-06
257,9.18398E-07,4.61489E-06
258,9.09834E-07,4.58029E-06
259,9.01382E-07,4.54609E-06
260,8.9304E-07,4.51227E-06
261,8.84805E-07,4.47883E-06
262,8.76677E-07,4.44576E-06
263,8.68653E-07,4.41307E-06
264,8.60732E-07,4.38074E-06
265,8.52912E-07,4.34877E-06
266,8.45191E-07,4.31715E-06
267,8.37567E-07,4.28588E-06
268,8.3004E-07,4.25495E-06
269,8.22607E-07,4.22436E-06
270,8.15268E-07,4.1941E-06
271,8.0802E-07,4.16417E-06
272,8.00861E-07,4.13457E-06
273,7.93792E-07,4.10528E-06
274,7.8681E-07,4.07631E-06
275,7.79913E-07,4.04764E-06
276,7.73101E-07,4.01928E-06
277,7.66373E-07,3.99123E-06
278,7.59726E-07,3.96347E-06
279,7.53159E-07,3.936E-06
280,7.46672E-07,3.90882E-06
281,7.40263E-07,3.88192E-06
282,7.33931E-07,3.8553E-06
283,7.27675E-07,3.82896E-06
284,7.21493E-07,3.8029E-06
285,7.15385E-07,3.7771E-06
286,7.09349E-07,3.75157E-06
287,7.03384E-07,3.72629E-06
288,6.97489E-07,3.70128E-06
289,6.91663E-07,3.67652E-06
290,6.85906E-07,3.65201E-06
291,6.80215E-07,3.62775E-06
292,6.7459E-07,3.60373E-06
293,6.69031E-07,3.57996E-06
294,6.63535E-07,3.55642E-06
295,6.58103E-07,3.53312E-06
296,6.52732E-07,3.51004E-06
297,6.47423E-07,3.4872E-06
298,6.42175E-07,3.46458E-06
299,6.36985E-07,3.44218E-06
300,6.31855E-07,3.42001E-06
301,6.26782E-07,3.39804E-06
302,6.21766E-07,3.3763E-06
303,6.16806E-07,3.35476E-06
304,6.11902E-07,3.33343E-06
305,6.07052E-07,3.31231E-06
306,6.02256E-07,3.29139E-06
307,5.97513E-07,3.27067E-06
308,5.92822E-07,3.25015E-06
309,5.88182E-07,3.22982E-06
310,5.83594E-07,3.20969E-06
311,5.79055E-07,3.18975E-06
312,5.74566E-07,3.16999E-06
313,5.70125E-07,3.15042E-06
314,5.65733E-07,3.13103E-06
315,5.61387E-07,3.11183E-06
316,5.57089E-07,3.0928E-06
317,5.52836E-07,3.07395E-06
318,5.48629E-07,3.05527E-06
319,5.44467E-07,3.03677E-06
320,5.40348E-07,3.01843E-06
321,5.36274E-07,3.00026E-06
322,5.32242E-07,2.98226E-06
323,5.28253E-07,2.96442E-06
324,5.24305E-07,2.94675E-06
325,5.20399E-07,2.92923E-06
326,5.16533E-07,2.91187E-06
327,5.12708E-07,2.89467E-06
328,5.08922E-07,2.87763E-06
329,5.05176E-07,2.86073E-06
330,5.01468E-07,2.84398E-06
331,4.97797E-07,2.82739E-06
332,4.94165E-07,2.81094E-06
333,4.9057E-07,2.79463E-06
334,4.87011E-07,2.77847E-06
335,4.83488E-07,2.76245E-06
336,4.80001E-07,2.74657E-06
337,4.76549E-07,2.73083E-06
338,4.73132E-07,2.71523E-06
339,4.69749E-07,2.69976E-06
340,4.664E-07,2.68443E-06
341,4.63085E-07,2.66922E-06
342,4.59802E-07,2.65415E-06
343,4.56552E-07,2.63921E-06
344,4.53334E-07,2.62439E-06
345,4.50148E-07,2.6097E-06
346,4.46993E-07,2.59514E-06
347,4.43869E-07,2.5807E-06
348,4.40775E-07,2.56638E-06
349,4.37712E-07,2.55218E-06
350,4.34679E-07,2.5381E-06
351,4.31675E-07,2.52414E-06
352,4.287E-07,2.5103E-06
353,4.25753E-07,2.49657E-06
354,4.22835E-07,2.48295E-06
355,4.19945E-07,2.46945E-06
356,4.17083E-07,2.45606E-06
357,4.14248E-07,2.44278E-06
358,4.1144E-07,2.4296E-06
359,4.08658E-07,2.41654E-06
360,4.05903E-07,2.40358E-06
361,4.03174E-07,2.39073E-06
362,4.0047E-07,2.37798E-06
363,3.97792E-07,2.36534E-06
364,3.95139E-07,2.35279E-06
365,3.92511E-07,2.34035E-06
366,3.89907E-07,2.32801E-06
367,3.87327E-07,2.31577E-06
368,3.84771E-07,2.30362E-06
369,3.82239E-07,2.29157E-06
370,3.7973E-07,2.27962E-06
371,3.77244E-07,2.26776E-06
372,3.74781E-07,2.256E-06
373,3.72341E-07,2.24433E-06
374,3.69922E-07,2.23275E-06
375,3.67526E-07,2.22126E-06
376,3.65151E-07,2.20986E-06
377,3.62798E-07,2.19855E-06
378,3.60466E-07,2.18732E-06
379,3.58155E-07,2.17619E-06
380,3.55865E-07,2.16514E-06
381,3.53596E-07,2.15417E-06
382,3.51346E-07,2.14329E-06
383,3.49117E-07,2.1325E-06
384,3.46907E-07,2.12178E-06
385,3.44717E-07,2.11115E-06
386,3.42546E-07,2.1006E-06
387,3.40395E-07,2.09013E-06
388,3.38262E-07,2.07973E-06
389,3.36148E-07,2.06942E-06
390,3.34053E-07,2.05918E-06
391,3.31975E-07,2.04903E-06
392,3.29916E-07,2.03894E-06
393,3.27875E-07,2.02893E-06
394,3.25852E-07,2.019E-06
395,3.23846E-07,2.00914E-06
396,3.21857E-07,1.99936E-06
397,3.19885E-07,1.98964E-06
398,3.1793E-07,1.98E-06
399,3.15992E-07,1.97043E-06
400,3.14071E-07,1.96093E-06
401,3.12166E-07,1.9515E-06
402,3.10277E-07,1.94214E-06
403,3.08404E-07,1.93284E-06
404,3.06547E-07,1.92362E-06
405,3.04705E-07,1.91446E-06
406,3.02879E-07,1.90537E-06
407,3.01069E-07,1.89634E-06
408,2.99273E-07,1.88738E-06
409,2.97493E-07,1.87848E-06
410,2.95727E-07,1.86964E-06
411,2.93976E-07,1.86087E-06
412,2.92239E-07,1.85216E-06
413,2.90517E-07,1.84352E-06
414,2.88809E-07,1.83493E-06
415,2.87116E-07,1.82641E-06
416,2.85436E-07,1.81794E-06
417,2.83769E-07,1.80954E-06
418,2.82117E-07,1.80119E-06
419,2.80478E-07,1.79291E-06
420,2.78852E-07,1.78468E-06
421,2.77239E-07,1.77651E-06
422,2.7564E-07,1.76839E-06
423,2.74053E-07,1.76033E-06
424,2.7248E-07,1.75233E-06
425,2.70918E-07,1.74438E-06
426,2.6937E-07,1.73649E-06
427,2.67834E-07,1.72865E-06
428,2.6631E-07,1.72087E-06
429,2.64798E-07,1.71314E-06
430,2.63298E-07,1.70546E-06
431,2.6181E-07,1.69783E-06
432,2.60334E-07,1.69026E-06
433,2.5887E-07,1.68273E-06
434,2.57417E-07,1.67526E-06
435,2.55975E-07,1.66784E-06
436,2.54545E-07,1.66047E-06
437,2.53126E-07,1.65315E-06
438,2.51718E-07,1.64587E-06
439,2.50321E-07,1.63865E-06
440,2.48935E-07,1.63147E-06
441,2.4756E-07,1.62435E-06
442,2.46195E-07,1.61726E-06
443,2.44841E-07,1.61023E-06
444,2.43497E-07,1.60324E-06
445,2.42164E-07,1.5963E-06
446,2.40841E-07,1.58941E-06
447,2.39528E-07,1.58256E-06
448,2.38225E-07,1.57575E-06
449,2.36932E-07,1.56899E-06
450,2.35648E-07,1.56227E-06
451,2.34375E-07,1.5556E-06
452,2.33111E-07,1.54897E-06
453,2.31857E-07,1.54238E-06
454,2.30612E-07,1.53584E-06
455,2.29376E-07,1.52934E-06
456,2.2815E-07,1.52288E-06
457,2.26933E-07,1.51646E-06
458,2.25725E-07,1.51008E-06
459,2.24526E-07,1.50375E-06
460,2.23336E-07,1.49745E-06
461,2.22155E-07,1.49119E-06
462,2.20982E-07,1.48498E-06
463,2.19819E-07,1.4788E-06
464,2.18664E-07,1.47266E-06
465,2.17517E-07,1.46656E-06
466,2.16379E-07,1.4605E-06
467,2.15249E-07,1.45448E-06
468,2.14127E-07,1.4485E-06
469,2.13014E-07,1.44255E-06
470,2.11908E-07,1.43664E-06
471,2.10811E-07,1.43077E-06
472,2.09722E-07,1.42493E-06
473,2.0864E-07,1.41913E-06
474,2.07567E-07,1.41336E-06
475,2.06501E-07,1.40763E-06
476,2.05443E-07,1.40194E-06
477,2.04392E-07,1.39628E-06
478,2.03349E-07,1.39066E-06
479,2.02313E-07,1.38507E-06
480,2.01285E-07,1.37951E-06
481,2.00264E-07,1.37399E-06
482,1.9925E-07,1.36851E-06
483,1.98244E-07,1.36305E-06
484,1.97245E-07,1.35763E-06
485,1.96252E-07,1.35224E-06
486,1.95267E-07,1.34689E-06
487,1.94289E-07,1.34156E-06
488,1.93317E-07,1.33627E-06
489,1.92353E-07,1.33101E-06
490,1.91395E-07,1.32578E-06
491,1.90443E-07,1.32059E-06
492,1.89499E-07,1.31542E-06
493,1.88561E-07,1.31029E-06
494,1.87629E-07,1.30518E-06
495,1.86704E-07,1.30011E-06
496,1.85786E-07,1.29506E-06
497,1.84873E-07,1.29005E-06
498,1.83967E-07,1.28506E-06
499,1.83067E-07,1.28011E-06
500,1.82174E-07,1.27518E-06
501,1.81286E-07,1.27028E-06
502,1.80405E-07,1.26541E-06
503,1.79529E-07,1.26057E-06
504,1.78659E-07,1.25576E-06
505,1.77796E-07,1.25097E-06
506,1.76938E-07,1.24622E-06
507,1.76086E-07,1.24149E-06
508,1.7524E-07,1.23679E-06
