N, |E1/B0_eff|, |E2/B0_eff|, |E3/E3_main_decay|, |E3_main_decay/B0_eff|, |E3/B0_eff|, (|E1|+|E2|+|E3|)/|B0_eff|
3, 0.0118525967548234584001318287497, 0.0152441562686686948196347530247, 0.824106969305041104294845300248, 1.97263608434419094868503093569, 1.62566314501065464501826698163, 1.6527598980341467982380335634
4, 0.0069147234260213191684489866477, 0.00950458681293757320628891207112, 0.599512977804329249995553225687, 1.50140095984034916502077449973, 0.900109360312165880612060559595, 0.916528670551124772986798458314
5, 0.00456005228741387045922590662342, 0.00658803584534852105412261132789, 0.494954741987716786679064210838, 1.20116247695088020667142597653, 0.594521063864549724428471043416, 0.605669151997312115941819561367
6, 0.00323767331240048541029160900903, 0.00487003966471869188994584194854, 0.434499999635500730173789382006, 0.993635804952535785920472320221, 0.431734756889697273604066897001, 0.439842469866816450904304347959
7, 0.00241697800848361997181025442432, 0.00376193871210734066619046560983, 0.395104747892365422220087152986, 0.84203625030313945078246466539, 0.332692520392254620033504678618, 0.338871437112845580671505398652
8, 0.00187153723282385001370317712345, 0.00300117338771830450614839009535, 0.367397150363037983603139847699, 0.726749371167803094976778618344, 0.267005647995180655149256875744, 0.271878358615722809669108442962
9, 0.00149033904296827296587050803862, 0.00245428346966168765224713237843, 0.346847813369548907142642573499, 0.636349617018587934277021289307, 0.220716473201447110882030887162, 0.224661095714077071500148527579
10, 0.00121341894165040609658649753981, 0.00204693903593249907951491520925, 0.331000007422594618945740302313, 0.563729885803623535164719828804, 0.186594596385337807044394992969, 0.189854954362920712220496405718
11, 0.00100596233295855405688167756735, 0.00173482262624678053412980774886, 0.318405810473437820289922323032, 0.504238645079509972812831802396, 0.160552514458569532328934655976, 0.163293299417774866919946141293
12, 0.000846588960724212918543508341693, 0.0014900699993895181611319437004, 0.308156507542655643890273302536, 0.454705217044602105997923862431, 0.140120371645889800524768997467, 0.142457030606003531604444449509
13, 0.000721563225940187482734813628006, 0.00129439741338953792239082769445, 0.299652966332113550594174731944, 0.412895201207908385077076151107, 0.123725271826244621541070644628, 0.125741232465574346946196285951
14, 0.000621727244441644564074047158125, 0.00113537802133721967927945927004, 0.29248414707792983719639988799, 0.377189645766794005137787098691, 0.110321991828727233204213278041, 0.112079097094506097447566784469
15, 0.000540782236991585947144389288119, 0.00100431251509114079180319848422, 0.286358660910438360757499709816, 0.346387565994333829702084215022, 0.0991910795541635308368185769521, 0.100736174306246257575766164724
16, 0.00047427954555014690656206171455, 0.000894955689717573353677131438359, 0.281064185845050301528588127047, 0.319579818338467443707764508562, 0.0898224414538104280641295405724, 0.0911916766890781483243687337253
17, 0.00041900451211109785185878968602, 0.000802725538855998302559111711705, 0.276442352150505979166663333985, 0.296065968641669103737999977385, 0.0818451727630209507514057555898, 0.0830669028139880469058236569875
18, 0.000372587369457981017133111129182, 0.000724195864963958852179537451747, 0.272372628798891451153087562609, 0.27529798518472384074157356014, 0.0749836359278015048407810891381, 0.076080419162223444710093737719
19, 0.000333250220677457389478552520615, 0.000656761494164635744516679257883, 0.268761659474152700257658294521, 0.256841182075910238687012339152, 0.0690290623160246397032691235915, 0.07001907403086673283726435537
20, 0.000299638248963479044090757158714, 0.000598411868597268791935177253155, 0.265536012663409238476825909664, 0.240346553626487076841699610183, 0.0638206655073696400659598621221, 0.064718715624930387901985796534
21, 0.000270704543044045510951751617581, 0.000547574559017059418844082110809, 0.262637135229010481518863493874, 0.225530808676192638540274916985, 0.0592327654965972963865819390761, 0.0600510445986584013163777728045
22, 0.000245629908809771574396686856647, 0.000503004983563558084768595149484, 0.260017765800097172785132971295, 0.212161719422053469544960867705, 0.0551658162724294267443939084138, 0.0559144511648027564035591904199
23, 0.000223766022095099569246358777278, 0.000463707323294603687124950758265, 0.257639337965894130515612745355, 0.200047207456083058705548795453, 0.0515400300909111193696994189146, 0.0522275034363008226260707284502
24, 0.000204594466488223942815539397469, 0.000428876910426202730583268726448, 0.25547006859885847135461689339, 0.189027102467474081908062347449, 0.0482907668344090531215543174182, 0.0489242382113234797949531255421
25, 0.000187696777903398209439439480584, 0.000397857655835601596461704624265, 0.253483529300541146178622572301, 0.178966841696670179468950075288, 0.0453651466610432043723381687507, 0.0459507010947822041782393128556
26, 0.000172732241270788764825142688955, 0.000370110177877660925223870221659, 0.251657564281583798411384901095, 0.169752598392124082198343220826, 0.0427195254418318447572274680417, 0.0432623678609802944472764809523
27, 0.000159421229012148530999575533524, 0.000345187656567321520085186904811, 0.249973460468124653214172109888, 0.161287475928129650284392095598, 0.0403175884879239237468243006298, 0.0408221973735033937979090630681
28, 0.000147532555636361028021824278712, 0.000322717339080481479991325136598, 0.248415303810363895058591384094, 0.153488505962483026113786069858, 0.0381288938400690711028946519409, 0.0385991437347859136109078013562
29, 0.000136873779580506108378924228076, 0.000302386230012274464282410437959, 0.246969474809014071966165570371, 0.146284259807196501024967114886, 0.0361277468174086859639531209348, 0.0365670068270014665366144556008
30, 0.000127283693112783973668397787812, 0.000283929915464999205559101671223, 0.2456242493531713919101935199, 0.139612932154630165015360057009, 0.0342923216604762797323580360779, 0.0347035352690540629115855355369
31, 0.000118626454203285547107527766187, 0.000267123758539244338414860073225, 0.244369480083477606475021959281, 0.133420792032694967757786866201, 0.0326039695813554606424781981213, 0.0329897197940979905280005859607
32, 0.000110786962909175050524351575727, 0.000251775906747165816141595825753, 0.24319633994465429895651328314, 0.127660921722569281515285374563, 0.0310466689168898614523537783857, 0.0314092317865462023190197257872
33, 0.000103667189829088701552195790464, 0.000237721696406428523310587549595, 0.242097114212798398393817043124, 0.122292183298450416574616745749, 0.0296065846673374272668058303552, 0.0299479735535729444916686136952
34, 0.0000971832392463414745895219302086, 0.000224819143208294962222837702895, 0.241065030633823426120443111816, 0.117278366445510334848603663541, 0.0282717129998717182658908617653, 0.0285937153823263547027032213984
35, 0.0000912629838344917511244129920878, 0.000212945283989025466780789575342, 0.240094119766601159881248020416, 0.112587481664638797641079230291, 0.0270315923070097996050750429346, 0.027335800574833316822980245502
36, 0.0000858441474173446952040261061697, 0.000201993190518507038269893188745, 0.239179099444983277615324374776, 0.10819117084970053763159053168, 0.0258770668117297008242787015675, 0.0261649041496655525577526208624
37, 0.0000808727414871405840561028506181, 0.000191869517543741565783365347737, 0.238315278635059747204932018224, 0.104064213210403195979326045374, 0.0248000919671755030763803694006, 0.025072834226206385226219837599
38, 0.000076301782919216653086630511175, 0.000182492478357989932633908194541, 0.237498476992517081805010305818, 0.100184109101588270193699340385, 0.023793573330479382959222980846, 0.0240523675917565895449435195517
39, 0.0000720902366312444587999079701501, 0.000173790164609778682291930479085, 0.236724957208204720787639468292, 0.0965307278617462904022708514589, 0.022851232422348745782269576285, 0.0230971128235897689233614147343
40, 0.0000682021392730106867953011977137, 0.000165699144915509356044374758649, 0.235991367831308827303387236359, 0.0930860085178047409139889418213, 0.0219674944760736052266624544554, 0.0222013957602621252695021304118
41, 0.0000646058694370808626829556446039, 0.000158163290531048981733529573092, 0.235294694724654075390734207387, 0.0898337043694602731085850605055, 0.0211373940455969778850167443168, 0.0213601632055651077294332295345
42, 0.0000612735371007354228099789732532, 0.000151132786913961239367971033734, 0.234632219669028324385048029953, 0.0867591641652086007768476966734, 0.0203564952647125148246537134258, 0.0205689015887272114868316634328
