N,e^delta,LemmaBound_NoMollifier,LemmaBound_Mollifier2,LemmaBound_Mollifier3,LemmaBound_Mollifier5,TriangleBound_NoMollifier,TriangleBound_Mollifier2,TriangleBound_Mollifier3,TriangleBound_Mollifier5
3,1.007473080310,-0.04457,-0.15769,-0.30010,-0.59836,-1.50415,-1.61832,-1.74985,-2.85624
4,1.003786154633,-0.19434,-0.13326,-0.24620,-0.54120,-1.87248,-1.25553,-1.29510,-2.18109
5,1.002290696900,-0.33618,-0.31011,-0.47525,-0.64264,-2.13395,-1.78746,-2.05718,-2.30847
6,1.001537482468,-0.46310,-0.26817,-0.37467,-0.49250,-2.32600,-1.54442,-1.68861,-1.82139
7,1.001104617864,-0.57473,-0.41127,-0.56660,-0.71877,-2.47045,-1.87765,-2.15505,-2.40226
8,1.000832704272,-0.67247,-0.36812,-0.50581,-0.63619,-2.58085,-1.69356,-1.92124,-2.12029
9,1.000650583090,-0.75806,-0.48833,-0.51872,-0.64510,-2.66610,-1.92212,-1.89086,-2.08628
10,1.000522549156,-0.83317,-0.45447,-0.47177,-0.58219,-2.73231,-1.77378,-1.72248,-1.88388
11,1.000429063478,-0.89927,-0.55426,-0.60063,-0.73150,-2.78378,-1.93968,-1.96270,-2.17281
12,1.000358692390,-0.95760,-0.52332,-0.53970,-0.64764,-2.82365,-1.81551,-1.77854,-1.93926
13,1.000304378121,-1.00922,-0.60508,-0.64515,-0.76909,-2.85428,-1.94070,-1.95986,-2.15581
14,1.000261569914,-1.05501,-0.57600,-0.60674,-0.72031,-2.87743,-1.83402,-1.83764,-2.01223
15,1.000227225104,-1.09573,-0.64391,-0.61142,-0.71349,-2.89449,-1.93119,-1.81036,-1.96197
16,1.000199245990,-1.13201,-0.61645,-0.57761,-0.67155,-2.90654,-1.83781,-1.70981,-1.84580
17,1.000176147853,-1.16438,-0.67354,-0.65226,-0.75681,-2.91443,-1.91485,-1.82607,-1.98334
18,1.000156855631,-1.19330,-0.64753,-0.60560,-0.69584,-2.91886,-1.83191,-1.70732,-1.83722
19,1.000140575225,-1.21918,-0.69600,-0.66916,-0.76820,-2.92039,-1.89400,-1.80189,-1.94880
20,1.000126709663,-1.24233,-0.67131,-0.63937,-0.72788,-2.91947,-1.81951,-1.72106,-1.84835
21,1.000114803092,-1.26307,-0.71284,-0.63890,-0.72599,-2.91648,-1.87021,-1.69739,-1.82229
22,1.000104502514,-1.28163,-0.68935,-0.61189,-0.69353,-2.91174,-1.80268,-1.62705,-1.74219
23,1.000095531110,-1.29825,-0.72520,-0.65980,-0.74767,-2.90551,-1.84452,-1.69391,-1.82045
24,1.000087669309,-1.31312,-0.70281,-0.62234,-0.70014,-2.89801,-1.78283,-1.60825,-1.71688
25,1.000080741133,-1.32640,-0.73396,-0.66419,-0.70891,-2.88942,-1.81764,-1.66478,-1.71527
26,1.000074604197,-1.33826,-0.71259,-0.63982,-0.68085,-2.87992,-1.76092,-1.60531,-1.65002
27,1.000069142290,-1.34882,-0.73981,-0.63695,-0.67751,-2.86962,-1.79008,-1.58473,-1.62927
28,1.000064259802,-1.35820,-0.71937,-0.61444,-0.65173,-2.85866,-1.73764,-1.53135,-1.57083
29,1.000059877488,-1.36651,-0.74327,-0.64728,-0.68922,-2.84712,-1.76220,-1.57358,-1.62156
30,1.000055929214,-1.37384,-0.72370,-0.61624,-0.64919,-2.83510,-1.71349,-1.50768,-1.54091
31,1.000052359436,-1.38028,-0.74478,-0.64542,-0.68252,-2.82267,-1.73425,-1.54423,-1.58492
32,1.000049121229,-1.38590,-0.72601,-0.62482,-0.65912,-2.80989,-1.68881,-1.49772,-1.53417
33,1.000046174726,-1.39077,-0.74467,-0.62080,-0.65462,-2.79683,-1.70642,-1.47965,-1.51570
34,1.000043485880,-1.39495,-0.72665,-0.60154,-0.63282,-2.78352,-1.66388,-1.43707,-1.46933
35,1.000041025477,-1.39850,-0.74322,-0.62508,-0.63621,-2.77002,-1.67883,-1.46534,-1.46501
36,1.000038768330,-1.40147,-0.72590,-0.59874,-0.60484,-2.75636,-1.63887,-1.41245,-1.40450
37,1.000036692634,-1.40391,-0.74066,-0.61991,-0.62933,-2.74257,-1.65159,-1.43728,-1.43524
38,1.000034779434,-1.40585,-0.72399,-0.60211,-0.60970,-2.72869,-1.61394,-1.39942,-1.39491
39,1.000033012186,-1.40733,-0.73716,-0.59756,-0.60503,-2.71474,-1.62475,-1.38340,-1.37918
40,1.000031376404,-1.40840,-0.72110,-0.58077,-0.58391,-2.70073,-1.58919,-1.34827,-1.33758
41,1.000029859355,-1.40907,-0.73288,-0.59819,-0.60404,-2.68670,-1.59837,-1.36793,-1.36198
42,1.000028449811,-1.40939,-0.71740,-0.57542,-0.57723,-2.67265,-1.56469,-1.32419,-1.31228
43,1.000027137843,-1.40937,-0.72795,-0.59123,-0.59551,-2.65861,-1.57247,-1.34164,-1.33403
44,1.000025914642,-1.40904,-0.71301,-0.57560,-0.57841,-2.64458,-1.54051,-1.30994,-1.30040
45,1.000024772374,-1.40843,-0.72248,-0.57083,-0.56861,-2.63058,-1.54707,-1.29560,-1.27858
46,1.000023704047,-1.40755,-0.70804,-0.55599,-0.55249,-2.61662,-1.51668,-1.26590,-1.24727
47,1.000022703411,-1.40643,-0.71655,-0.56918,-0.56781,-2.60271,-1.52219,-1.27992,-1.26494
48,1.000021764863,-1.40507,-0.70258,-0.54922,-0.54458,-2.58886,-1.49323,-1.24293,-1.22325
49,1.000020883368,-1.40351,-0.71023,-0.56127,-0.55859,-2.57506,-1.49783,-1.25546,-1.23914
50,1.000020054391,-1.40174,-0.69672,-0.54737,-0.54145,-2.56134,-1.47019,-1.22836,-1.20739
51,1.000019273840,-1.39979,-0.70360,-0.54257,-0.53659,-2.54769,-1.47398,-1.21542,-1.19468
52,1.000018538012,-1.39768,-0.69051,-0.52930,-0.52225,-2.53412,-1.44757,-1.18984,-1.16778
53,1.000017843554,-1.39540,-0.69671,-0.53946,-0.53410,-2.52063,-1.45065,-1.20000,-1.18079
54,1.000017187421,-1.39297,-0.68402,-0.52176,-0.51366,-2.50724,-1.42536,-1.16817,-1.14509
55,1.000016566841,-1.39041,-0.68959,-0.53109,-0.51317,-2.49393,-1.42782,-1.17729,-1.13973
56,1.000015979292,-1.38772,-0.67729,-0.51861,-0.49987,-2.48071,-1.40359,-1.15373,-1.11527
57,1.000015422467,-1.38491,-0.68230,-0.51386,-0.49519,-2.46759,-1.40550,-1.14198,-1.10392
58,1.000014894263,-1.38200,-0.67037,-0.50189,-0.48245,-2.45457,-1.38223,-1.11961,-1.08070
59,1.000014392748,-1.37897,-0.67487,-0.50982,-0.49186,-2.44164,-1.38366,-1.12705,-1.09063
60,1.000013916154,-1.37586,-0.66328,-0.49397,-0.47307,-2.42881,-1.36131,-1.09927,-1.05875
61,1.000013462857,-1.37265,-0.66733,-0.50128,-0.48178,-2.41609,-1.36230,-1.10595,-1.06777
62,1.000013031362,-1.36937,-0.65606,-0.48997,-0.46977,-2.40346,-1.34079,-1.08521,-1.04626
63,1.000012620291,-1.36600,-0.65969,-0.48533,-0.46516,-2.39094,-1.34141,-1.07447,-1.03581
64,1.000012228377,-1.36257,-0.64874,-0.47445,-0.45361,-2.37852,-1.32070,-1.05468,-1.01529
65,1.000011854446,-1.35907,-0.65199,-0.48070,-0.45248,-2.36621,-1.32097,-1.06014,-1.01017
66,1.000011497414,-1.35551,-0.64133,-0.46639,-0.43636,-2.35399,-1.30100,-1.03561,-0.98326
67,1.000011156278,-1.35190,-0.64424,-0.47217,-0.44338,-2.34188,-1.30097,-1.04051,-0.99023
68,1.000010830107,-1.34823,-0.63387,-0.46185,-0.43255,-2.32987,-1.28171,-1.02205,-0.97127
69,1.000010518040,-1.34452,-0.63646,-0.45735,-0.42816,-2.31797,-1.28141,-1.01218,-0.96179
70,1.000010219273,-1.34076,-0.62636,-0.44739,-0.41634,-2.30616,-1.26280,-0.99450,-0.94165
71,1.000009933061,-1.33696,-0.62866,-0.45235,-0.42241,-2.29446,-1.26226,-0.99849,-0.94747
72,1.000009658711,-1.33312,-0.61882,-0.43935,-0.40784,-2.28286,-1.24427,-0.97662,-0.92356
73,1.000009395576,-1.32926,-0.62086,-0.44393,-0.41347,-2.27136,-1.24351,-0.98019,-0.92886
74,1.000009143053,-1.32535,-0.61126,-0.43446,-0.40356,-2.25996,-1.22611,-0.96361,-0.91186
75,1.000008900578,-1.32143,-0.61306,-0.43012,-0.39672,-2.24865,-1.22516,-0.95449,-0.89938
76,1.000008667625,-1.31747,-0.60370,-0.42096,-0.38717,-2.23745,-1.20831,-0.93857,-0.88310
77,1.000008443702,-1.31349,-0.60528,-0.42490,-0.39207,-2.22635,-1.20719,-0.94144,-0.88755
78,1.000008228347,-1.30949,-0.59614,-0.41301,-0.37882,-2.21534,-1.19087,-0.92179,-0.86616
79,1.000008021131,-1.30548,-0.59752,-0.41666,-0.38339,-2.20442,-1.18959,-0.92434,-0.87021
80,1.000007821646,-1.30144,-0.58860,-0.40793,-0.37315,-2.19361,-1.17377,-0.90935,-0.85327
81,1.000007629513,-1.29739,-0.58979,-0.40374,-0.36907,-2.18288,-1.17236,-0.90089,-0.84514
82,1.000007444376,-1.29333,-0.58108,-0.39527,-0.36026,-2.17226,-1.15700,-0.88644,-0.83039
83,1.000007265898,-1.28926,-0.58209,-0.39842,-0.36423,-2.16172,-1.15546,-0.88846,-0.83376
84,1.000007093765,-1.28517,-0.57359,-0.38749,-0.35210,-2.15127,-1.14056,-0.87067,-0.81445
85,1.000006927678,-1.28108,-0.57444,-0.39039,-0.35040,-2.14092,-1.13891,-0.87245,-0.80992
86,1.000006767357,-1.27698,-0.56613,-0.38230,-0.34204,-2.13066,-1.12443,-0.85879,-0.79607
87,1.000006612540,-1.27288,-0.56683,-0.37827,-0.33815,-2.12048,-1.12269,-0.85092,-0.78856
88,1.000006462976,-1.26877,-0.55871,-0.37041,-0.33003,-2.11039,-1.10861,-0.83772,-0.77518
89,1.000006318431,-1.26466,-0.55927,-0.37291,-0.33329,-2.10039,-1.10678,-0.83908,-0.77778
90,1.000006178682,-1.26054,-0.55132,-0.36282,-0.32178,-2.09048,-1.09309,-0.82289,-0.75975
91,1.000006043520,-1.25643,-0.55177,-0.36512,-0.32482,-2.08065,-1.09118,-0.82405,-0.76211
92,1.000005912746,-1.25231,-0.54399,-0.35759,-0.31705,-2.07090,-1.07786,-0.81154,-0.74942
93,1.000005786172,-1.24820,-0.54431,-0.35373,-0.31330,-2.06124,-1.07588,-0.80419,-0.74238
94,1.000005663620,-1.24409,-0.53670,-0.34640,-0.30574,-2.05166,-1.06292,-0.79208,-0.73011
95,1.000005544922,-1.23998,-0.53692,-0.34837,-0.30396,-2.04216,-1.06087,-0.79292,-0.72589
96,1.000005429917,-1.23588,-0.52947,-0.33901,-0.29372,-2.03274,-1.04825,-0.77809,-0.70999
97,1.000005318454,-1.23177,-0.52959,-0.34084,-0.29622,-2.02340,-1.04614,-0.77878,-0.71178
98,1.000005210389,-1.22768,-0.52229,-0.33380,-0.28901,-2.01414,-1.03384,-0.76726,-0.70017
99,1.000005105585,-1.22359,-0.52231,-0.33009,-0.28543,-2.00496,-1.03169,-0.76038,-0.69361
100,1.000005003912,-1.21951,-0.51517,-0.32324,-0.27759,-1.99585,-1.01970,-0.74921,-0.68122
101,1.000004905246,-1.21543,-0.51510,-0.32479,-0.27977,-1.98682,-1.01750,-0.74964,-0.68266
102,1.000004809471,-1.21136,-0.50810,-0.31607,-0.27027,-1.97786,-1.00580,-0.73600,-0.66807
103,1.000004716474,-1.20730,-0.50796,-0.31750,-0.27230,-1.96898,-1.00357,-0.73631,-0.66935
104,1.000004626150,-1.20324,-0.50109,-0.31091,-0.26556,-1.96017,-0.99216,-0.72566,-0.65863
105,1.000004538395,-1.19920,-0.50087,-0.30734,-0.26053,-1.95143,-0.98989,-0.71919,-0.65029
106,1.000004453115,-1.19517,-0.49414,-0.30091,-0.25397,-1.94277,-0.97875,-0.70884,-0.63990
107,1.000004370216,-1.19114,-0.49386,-0.30211,-0.25574,-1.93417,-0.97645,-0.70895,-0.64091
108,1.000004289611,-1.18713,-0.48726,-0.29398,-0.24690,-1.92565,-0.96558,-0.69634,-0.62747
109,1.000004211216,-1.18312,-0.48691,-0.29507,-0.24854,-1.91719,-0.96325,-0.69635,-0.62836
110,1.000004134951,-1.17913,-0.48043,-0.28888,-0.24152,-1.90880,-0.95263,-0.68647,-0.61746
111,1.000004060740,-1.17514,-0.48002,-0.28545,-0.23821,-1.90048,-0.95028,-0.68037,-0.61165
112,1.000003988509,-1.17117,-0.47367,-0.27941,-0.23205,-1.89222,-0.93990,-0.67076,-0.60199
113,1.000003918188,-1.16721,-0.47320,-0.28032,-0.23347,-1.88403,-0.93754,-0.67060,-0.60265
114,1.000003849711,-1.16327,-0.46697,-0.27270,-0.22521,-1.87591,-0.92739,-0.65892,-0.59021
115,1.000003783014,-1.15933,-0.46645,-0.27352,-0.22341,-1.86784,-0.92501,-0.65868,-0.58654
116,1.000003718036,-1.15541,-0.46033,-0.26769,-0.21749,-1.85985,-0.91509,-0.64948,-0.57734
117,1.000003654717,-1.15150,-0.45976,-0.26439,-0.21433,-1.85191,-0.91269,-0.64372,-0.57188
118,1.000003593003,-1.14760,-0.45375,-0.25869,-0.20854,-1.84404,-0.90299,-0.63475,-0.56291
119,1.000003532839,-1.14372,-0.45314,-0.25936,-0.20969,-1.83622,-0.90058,-0.63439,-0.56331
120,1.000003474174,-1.13985,-0.44724,-0.25220,-0.20171,-1.82847,-0.89109,-0.62351,-0.55143
121,1.000003416958,-1.13599,-0.44659,-0.25280,-0.20278,-1.82078,-0.88867,-0.62308,-0.55175
122,1.000003361144,-1.13214,-0.44079,-0.24729,-0.19719,-1.81315,-0.87938,-0.61448,-0.54315
123,1.000003306687,-1.12831,-0.44010,-0.24412,-0.19414,-1.80557,-0.87696,-0.60903,-0.53797
124,1.000003253543,-1.12450,-0.43440,-0.23873,-0.18868,-1.79805,-0.86786,-0.60064,-0.52957
125,1.000003201670,-1.12069,-0.43367,-0.23920,-0.18691,-1.79059,-0.86544,-0.60011,-0.52615
126,1.000003151028,-1.11690,-0.42808,-0.23246,-0.17967,-1.78318,-0.85652,-0.58996,-0.51543
127,1.000003101578,-1.11313,-0.42731,-0.23286,-0.18052,-1.77583,-0.85410,-0.58937,-0.51555
128,1.000003053283,-1.10937,-0.42181,-0.22765,-0.17526,-1.76854,-0.84536,-0.58131,-0.50751
129,1.000003006108,-1.10562,-0.42102,-0.22460,-0.17233,-1.76130,-0.84294,-0.57615,-0.50262
130,1.000002960018,-1.10189,-0.41561,-0.21950,-0.16663,-1.75411,-0.83438,-0.56827,-0.49405
131,1.000002914979,-1.09817,-0.41479,-0.21979,-0.16735,-1.74698,-0.83195,-0.56761,-0.49404
132,1.000002870962,-1.09447,-0.40947,-0.21343,-0.16053,-1.73990,-0.82356,-0.55810,-0.48402
133,1.000002827933,-1.09078,-0.40862,-0.21367,-0.16118,-1.73287,-0.82114,-0.55739,-0.48395
134,1.000002785865,-1.08710,-0.40339,-0.20873,-0.15620,-1.72589,-0.81292,-0.54981,-0.47640
135,1.000002744729,-1.08344,-0.40252,-0.20579,-0.15232,-1.71896,-0.81050,-0.54491,-0.47034
136,1.000002704497,-1.07979,-0.39737,-0.20095,-0.14744,-1.71208,-0.80243,-0.53750,-0.46298
137,1.000002665144,-1.07616,-0.39647,-0.20110,-0.14797,-1.70525,-0.80002,-0.53673,-0.46281
138,1.000002626643,-1.07255,-0.39141,-0.19509,-0.14155,-1.69847,-0.79210,-0.52780,-0.45343
139,1.000002588971,-1.06894,-0.39049,-0.19519,-0.14203,-1.69174,-0.78969,-0.52699,-0.45321
140,1.000002552104,-1.06536,-0.38551,-0.19050,-0.13682,-1.68506,-0.78193,-0.51986,-0.44547
141,1.000002516018,-1.06178,-0.38457,-0.18766,-0.13411,-1.67842,-0.77953,-0.51519,-0.44105
142,1.000002480693,-1.05822,-0.37967,-0.18306,-0.12947,-1.67183,-0.77190,-0.50820,-0.43411
143,1.000002446106,-1.05468,-0.37871,-0.18309,-0.12986,-1.66529,-0.76951,-0.50734,-0.43380
144,1.000002412238,-1.05115,-0.37388,-0.17739,-0.12378,-1.65879,-0.76203,-0.49895,-0.42499
145,1.000002379069,-1.04764,-0.37291,-0.17738,-0.12210,-1.65234,-0.75964,-0.49806,-0.42198
146,1.000002346579,-1.04414,-0.36816,-0.17292,-0.11762,-1.64593,-0.75229,-0.49132,-0.41530
147,1.000002314750,-1.04065,-0.36717,-0.17018,-0.11501,-1.63957,-0.74991,-0.48687,-0.41110
148,1.000002283564,-1.03718,-0.36249,-0.16580,-0.11061,-1.63325,-0.74270,-0.48027,-0.40456
149,1.000002253005,-1.03372,-0.36149,-0.16572,-0.11088,-1.62697,-0.74033,-0.47934,-0.40416
150,1.000002223054,-1.03028,-0.35688,-0.16031,-0.10495,-1.62074,-0.73324,-0.47142,-0.39563
151,1.000002193698,-1.02685,-0.35586,-0.16020,-0.10517,-1.61455,-0.73088,-0.47047,-0.39520
152,1.000002164919,-1.02344,-0.35132,-0.15595,-0.10090,-1.60840,-0.72392,-0.46409,-0.38888
153,1.000002136702,-1.02004,-0.35029,-0.15331,-0.09838,-1.60229,-0.72157,-0.45985,-0.38486
