N,bound,boundtype
69098,0.04277935,lemma_euler5
69099,0.04278278,lemma_euler5
69100,0.042787693,lemma_euler5
69101,0.042789534,lemma_euler5
69102,0.042795121,lemma_euler5
69103,0.042796962,lemma_euler5
69104,0.042801601,lemma_euler5
69105,0.042805617,lemma_euler5
69106,0.042810256,lemma_euler5
69107,0.042812097,lemma_euler5
69108,0.042817682,lemma_euler5
69109,0.042819523,lemma_euler5
69110,0.042824436,lemma_euler5
69111,0.042827865,lemma_euler5
69112,0.042832503,lemma_euler5
69113,0.042834344,lemma_euler5
69114,0.042839929,lemma_euler5
69115,0.042842691,lemma_euler5
69116,0.042847328,lemma_euler5
69117,0.042850758,lemma_euler5
69118,0.042855395,lemma_euler5
69119,0.042857236,lemma_euler5
69120,0.042862946,lemma_euler5
69121,0.042864786,lemma_euler5
69122,0.042869424,lemma_euler5
69123,0.042872852,lemma_euler5
69124,0.042877489,lemma_euler5
69125,0.042880251,lemma_euler5
69126,0.042885834,lemma_euler5
69127,0.042887674,lemma_euler5
69128,0.042892312,lemma_euler5
69129,0.04289574,lemma_euler5
69130,0.04290065,lemma_euler5
69131,0.042902491,lemma_euler5
69132,0.042908074,lemma_euler5
69133,0.042909913,lemma_euler5
69134,0.04291455,lemma_euler5
69135,0.042918564,lemma_euler5
69136,0.0429232,lemma_euler5
69137,0.04292504,lemma_euler5
69138,0.042930622,lemma_euler5
69139,0.042932462,lemma_euler5
69140,0.042937372,lemma_euler5
69141,0.0429408,lemma_euler5
69142,0.042945435,lemma_euler5
69143,0.042947275,lemma_euler5
69144,0.042952857,lemma_euler5
69145,0.042955617,lemma_euler5
69146,0.042960252,lemma_euler5
69147,0.042963679,lemma_euler5
69148,0.042968314,lemma_euler5
69149,0.042970154,lemma_euler5
69150,0.042975861,lemma_euler5
69151,0.0429777,lemma_euler5
69152,0.042982335,lemma_euler5
69153,0.042985762,lemma_euler5
69154,0.042990396,lemma_euler5
69155,0.042993156,lemma_euler5
69156,0.042998736,lemma_euler5
69157,0.043000576,lemma_euler5
69158,0.04300521,lemma_euler5
69159,0.043008636,lemma_euler5
69160,0.043013544,lemma_euler5
69161,0.043015384,lemma_euler5
69162,0.043020963,lemma_euler5
69163,0.043022803,lemma_euler5
69164,0.043027436,lemma_euler5
69165,0.043031448,lemma_euler5
69166,0.043036081,lemma_euler5
69167,0.043037921,lemma_euler5
69168,0.0430435,lemma_euler5
69169,0.043045339,lemma_euler5
69170,0.043050246,lemma_euler5
69171,0.043053671,lemma_euler5
69172,0.043058304,lemma_euler5
69173,0.043060143,lemma_euler5
69174,0.043065721,lemma_euler5
69175,0.043068481,lemma_euler5
69176,0.043073113,lemma_euler5
69177,0.043076538,lemma_euler5
69178,0.04308117,lemma_euler5
69179,0.043083009,lemma_euler5
69180,0.043088712,lemma_euler5
69181,0.043090552,lemma_euler5
69182,0.043095184,lemma_euler5
69183,0.043098608,lemma_euler5
69184,0.04310324,lemma_euler5
