t,zero_1,zero_2,zero_3,zero_4,zero_5
0,28.26945028,42.04407928,50.02171516,60.84975225,65.87012318
0.001,28.26887066,42.04332429,50.02112932,60.84879686,65.8696577
0.002,28.26829103,42.04256932,50.02054348,60.84784153,65.86919217
0.003,28.26771141,42.04181436,50.01995763,60.84688626,65.8687266
0.004,28.2671318,42.04105942,50.01937177,60.84593105,65.86826096
0.005,28.26655219,42.04030449,50.01878591,60.8449759,65.86779529
0.006,28.26597258,42.03954958,50.01820004,60.84402081,65.86732956
0.007,28.26539298,42.03879468,50.01761416,60.84306578,65.86686377
0.008,28.26481338,42.0380398,50.01702827,60.84211081,65.86639793
0.009,28.26423379,42.03728493,50.01644238,60.8411559,65.86593204
0.01,28.2636542,42.03653008,50.01585648,60.84020104,65.86546609
0.011,28.26307461,42.03577524,50.01527057,60.83924626,65.86500013
0.012,28.26249503,42.03502042,50.01468466,60.83829153,65.86453407
0.013,28.26191546,42.03426561,50.01409874,60.83733685,65.86406798
0.014,28.26133589,42.03351082,50.01351281,60.83638225,65.86360181
0.015,28.26075632,42.03275604,50.01292688,60.83542769,65.86313563
0.016,28.26017676,42.03200128,50.01234094,60.8344732,65.86266937
0.017,28.2595972,42.03124654,50.01175499,60.83351877,65.86220307
0.018,28.25901765,42.0304918,50.01116903,60.8325644,65.8617367
0.019,28.2584381,42.02973709,50.01058307,60.83161009,65.8612703
0.02,28.25785855,42.02898239,50.0099971,60.83065584,65.86080384
0.021,28.25727901,42.0282277,50.00941113,60.82970165,65.86033734
0.022,28.25669948,42.02747303,50.00882514,60.82874752,65.85987077
0.023,28.25611994,42.02671837,50.00823915,60.82779345,65.85940415
0.024,28.25554042,42.02596373,50.00765316,60.82683943,65.85893748
0.025,28.25496089,42.02520911,50.00706715,60.82588548,65.85847078
0.026,28.25438138,42.0244545,50.00648114,60.82493159,65.858004
0.027,28.25380186,42.0236999,50.00589512,60.82397776,65.85753717
0.028,28.25322235,42.02294532,50.0053091,60.82302399,65.8570703
0.029,28.25264285,42.02219076,50.00472307,60.82207027,65.85660336
0.03,28.25206335,42.02143621,50.00413703,60.82111662,65.8561364
